Commodity,PALLFNF,PEXGALL,PNFUEL,PFANDB,PFOOD,PBEVE,PINDU,PAGRI,PRAWM,PALLMETA,PMETA,PPMETA,PEXGMETA,PFERT,PNRG,POILAPSP,PNGAS,PCOAL,PALUM,PBANSOP,PBARL,PBEEF,PCOALAU,PCOALSA_USD,PCOCO,PCOFFOTM,PCOFFROB,PROIL,PCOPP,PCOTTIND,PFSHMEAL,PGNUTS,PHIDE,PIORECR,PLAMB,PLEAD,PLOGORE,PLOGSK,PMAIZMT,PNGASEU,PNGASJP,PNGASUS,PNICK,POILAPSP,POILBRE,POILDUB,POILWTI,POLVOIL,PORANG,PPOIL,PPORK,PPOULT,PRICENPQ,PRUBB,PSALM,PSAWMAL,PSAWORE,PSHRI,PSMEA,PSOIL,PSOYB,PSUGAISA,PSUGAUSA,PSUNO,PTEA,PTIN,PURAN,PWHEAMT,POATS,PSORG,PWOOLC,PWOOLF,PZINC,PLMMODY,PCOBA,PGOLD,PSILVER,PPALLA,PPLAT,PPROPANE,PUREA,PPOTASH,PDAP,PTOMATO,PMILK,PCHANA,PAPPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M1,,,,66.02,65.59,71.02,65.52,69.79,95.35,42.73,53.67,32.15,51.36,,50.01,39.20,74.92,55.06,1584.48,413.37,124.93,86.26,39.37,34.75,1349.11,107.96,88.65,561.62,2605.00,85.91,694.66,852.17,72.82,12.97,116.22,709.88,231.29,234.29,156.67,2.68,3.59,2.93,7870.71,17.92,18.14,16.72,18.90,5509.12,1.18,482.30,72.90,58.45,364.40,70.30,4.32,719.36,297.69,6.53,258.36,532.86,270.12,12.53,22.39,568.74,174.42,6257.14,12.20,196.43,2.26,7.05,456.77,584.39,1019.69,,31750.00,400.07,5.48,129.50,415.48,0.35,216.52,,242.87,0.00,12.22,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M2,,,,68.01,67.18,77.73,65.85,71.46,94.79,43.28,54.35,32.58,52.08,,52.24,38.62,87.65,54.61,1594.57,590.84,123.31,83.05,39.28,34.25,1370.55,124.78,97.50,536.10,2544.67,86.79,705.54,835.24,74.31,12.97,114.95,768.43,218.51,246.43,164.71,2.68,3.81,3.83,8198.50,17.64,17.85,16.00,19.08,6067.63,1.24,483.42,78.51,56.83,367.00,70.55,4.27,713.66,290.36,6.53,253.71,535.72,268.26,12.82,22.62,567.05,177.03,6189.29,15.75,206.17,2.17,7.25,450.38,525.31,1035.83,,31125.00,404.48,5.65,139.27,420.21,0.39,208.33,,244.00,0.00,12.36,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M3,,,,68.38,67.90,73.96,66.33,71.92,95.92,43.05,54.57,31.92,52.20,,52.43,42.51,75.53,53.38,1614.86,500.00,124.47,79.32,39.01,32.92,1338.60,120.81,90.71,519.24,2563.35,83.23,664.02,829.05,75.89,12.97,118.49,816.70,241.62,253.01,170.96,2.68,3.76,2.92,8046.40,19.37,19.81,16.97,21.33,6032.36,1.33,462.98,89.72,55.12,362.50,70.70,4.36,728.68,299.45,6.53,251.40,534.40,265.78,12.90,22.57,549.67,168.66,6205.25,15.75,205.26,2.30,7.50,439.18,573.83,1063.25,,29350.00,396.33,5.53,138.38,411.19,0.37,202.86,,226.90,0.00,12.71,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M4,,,,72.29,72.03,75.32,65.40,74.94,92.87,42.86,54.48,31.62,52.05,,53.07,45.97,67.12,54.19,1587.40,605.17,132.69,81.50,39.33,33.67,1457.33,121.88,90.48,530.37,2594.17,83.00,637.90,811.36,76.09,12.97,134.95,812.03,152.29,252.48,189.03,2.69,3.82,2.25,8047.00,20.80,21.20,17.66,23.53,5909.79,1.32,494.92,99.53,56.02,325.80,66.64,4.44,751.38,307.24,6.53,274.40,580.48,290.42,11.98,22.58,594.95,172.37,6467.25,15.99,239.52,2.46,8.44,416.56,597.67,1043.95,,28375.00,393.14,5.41,136.50,404.39,0.36,193.05,,213.18,0.00,13.48,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M5,,,,74.30,74.00,77.86,66.64,77.08,95.91,43.05,55.01,31.50,52.48,,50.30,42.58,66.98,53.08,1593.86,535.72,137.79,81.31,38.20,33.28,1524.44,129.60,91.30,590.66,2658.76,82.89,603.71,813.91,85.55,12.97,146.12,840.98,220.12,262.49,204.00,2.69,3.82,2.24,8042.86,19.17,19.32,16.92,21.27,5906.63,1.23,503.07,112.15,60.32,332.25,67.33,4.25,753.11,296.21,6.60,271.62,598.33,295.52,11.38,22.59,617.91,176.12,6401.90,16.38,248.59,2.41,8.46,440.06,743.54,1036.55,,28500.00,391.94,5.37,132.02,401.42,0.35,164.48,,203.04,0.00,14.28,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M6,,,,71.81,71.53,75.08,63.63,75.04,96.88,40.50,50.42,30.91,48.29,,50.24,41.79,70.11,52.40,1485.75,484.58,138.14,77.00,38.20,32.40,1537.56,125.03,86.10,593.77,2177.60,83.13,597.14,800.00,86.68,12.97,153.45,796.58,224.83,255.85,196.64,2.69,3.79,2.49,7713.16,18.78,18.58,17.31,20.44,6014.78,1.22,446.58,102.34,64.64,341.50,66.95,4.25,747.91,313.65,6.75,264.25,565.93,284.61,12.17,22.49,585.35,171.24,6183.75,16.50,215.23,2.25,7.95,447.61,701.36,1009.40,,26062.50,385.27,5.16,129.63,392.25,0.35,152.50,,211.50,0.00,15.52,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M7,,,,72.25,72.33,71.21,61.16,75.01,93.72,39.35,48.22,30.77,46.32,,51.75,43.35,70.99,52.31,1460.02,425.05,133.09,77.68,38.40,32.10,1490.38,123.70,78.25,582.62,1983.93,79.84,577.42,803.48,85.20,12.97,151.62,783.78,220.85,259.69,197.62,2.69,3.79,2.56,7202.61,19.58,19.71,17.72,21.31,5903.83,1.16,418.14,124.77,66.26,358.00,61.30,3.78,743.97,304.74,6.58,272.55,550.05,288.77,12.81,21.80,567.83,160.17,6245.52,16.50,196.39,2.29,7.38,420.32,671.43,1000.52,,22687.50,383.59,5.06,131.84,393.66,0.36,174.13,,215.65,0.00,17.64,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M8,,,,71.50,71.44,72.20,61.20,74.36,93.66,39.54,48.31,31.07,46.42,,52.02,44.86,64.60,52.22,1466.79,405.65,115.01,80.23,38.35,32.03,1501.72,125.51,79.03,564.08,2017.86,76.71,565.35,793.18,89.70,12.97,151.21,816.17,227.13,263.48,186.82,2.69,3.87,2.04,7037.62,20.38,20.61,18.60,21.93,5811.23,1.17,449.59,124.77,66.70,335.50,59.10,3.68,743.43,311.08,6.55,281.53,552.26,296.30,12.37,22.35,565.86,167.97,6109.52,16.46,181.50,1.94,6.80,417.67,751.65,1007.95,,21400.00,387.47,5.13,126.80,400.03,0.38,185.00,,214.71,0.00,18.08,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M9,,,,66.10,65.77,70.01,61.23,69.92,95.71,38.95,47.52,30.66,45.64,,55.44,49.68,61.59,53.09,1405.76,396.39,103.40,78.68,38.10,33.38,1475.95,119.81,74.91,575.36,1935.07,75.36,605.67,797.14,96.10,12.97,154.71,794.26,231.30,258.69,145.24,2.69,3.81,1.83,7329.81,22.42,23.08,20.27,23.91,5925.11,1.10,468.69,76.30,66.70,328.40,59.19,3.76,755.31,336.14,6.40,294.05,554.90,297.49,11.92,22.38,561.95,187.38,6093.71,16.15,170.98,1.80,5.89,404.38,738.33,998.98,,22150.00,382.96,5.04,121.46,389.86,0.47,179.90,,205.05,0.00,18.78,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M10,,,,63.98,63.48,69.97,60.02,67.85,94.01,38.35,46.52,30.46,44.68,,59.37,52.62,70.29,53.41,1336.02,375.45,102.41,81.42,37.60,34.25,1477.58,123.78,72.99,583.36,1960.20,75.43,626.68,806.96,98.66,12.97,159.64,741.07,240.23,252.67,128.61,2.94,4.04,2.27,7028.70,23.60,24.27,21.63,24.90,6023.87,1.12,448.41,76.59,65.68,312.75,56.33,3.89,753.33,316.82,6.43,260.90,509.71,259.80,11.12,22.37,517.57,183.51,5933.09,15.74,169.60,1.72,5.20,416.41,681.61,1002.72,,21887.50,381.07,4.93,117.43,384.18,0.51,179.65,,203.91,0.00,16.01,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M11,,,,63.35,62.87,69.05,62.38,67.55,95.96,39.48,49.03,30.23,46.88,,60.50,49.90,82.50,51.97,1451.05,426.59,99.99,82.17,35.70,34.14,1465.54,123.91,70.12,572.04,2215.43,75.91,643.81,794.76,102.00,12.97,170.23,720.29,245.51,252.90,117.14,2.94,4.41,3.08,6960.71,22.59,23.10,20.95,23.71,6235.91,1.02,466.77,75.74,65.83,315.00,57.62,4.13,753.65,336.25,6.83,255.55,509.93,255.28,10.72,22.12,515.29,189.37,5993.86,15.07,169.27,1.56,4.78,419.48,616.97,1044.31,,21400.00,378.52,4.83,117.02,381.98,0.58,194.52,,215.67,0.00,12.90,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996M12,,,,63.22,63.02,65.64,61.23,66.87,91.53,39.19,49.19,29.52,46.97,,64.29,52.91,91.68,52.42,1500.98,476.20,100.76,83.01,35.35,35.04,1474.23,116.89,63.42,547.62,2264.60,78.29,629.31,784.09,92.41,12.97,173.95,689.36,201.97,233.76,116.84,2.94,4.32,3.81,6571.05,23.71,24.04,21.57,25.52,6241.91,0.89,480.96,76.51,65.19,313.67,57.02,4.21,726.84,309.34,7.12,258.24,506.18,257.16,10.74,22.10,512.55,197.74,5826.24,14.76,167.83,1.50,4.79,417.72,632.94,1036.55,,21400.00,368.98,4.82,117.45,370.70,0.61,193.75,,216.00,0.00,12.35,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M1,,,,64.70,64.37,68.71,63.54,68.41,93.50,39.87,51.63,28.50,49.10,,61.48,53.09,85.01,51.97,1575.14,668.51,98.97,81.48,35.23,34.57,1428.79,131.23,66.16,529.62,2427.27,79.77,608.18,756.52,90.11,13.04,174.17,691.52,246.67,240.56,118.70,3.00,4.29,3.28,7069.14,23.41,23.61,21.41,25.20,6225.94,0.82,522.67,74.60,64.20,356.00,55.85,4.31,740.31,309.67,7.36,260.66,526.46,268.10,10.69,21.88,527.39,189.36,5871.14,14.49,167.79,1.57,4.82,408.62,677.73,1086.14,,21687.50,355.20,4.77,121.09,360.10,0.47,187.00,,209.75,0.00,12.94,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M2,,,,65.53,64.44,78.43,64.08,69.11,93.30,40.08,52.47,28.09,50.02,,53.48,47.95,70.13,50.92,1582.05,787.29,97.73,85.33,34.60,33.80,1373.28,166.33,75.40,544.65,2406.63,80.40,602.29,750.75,87.76,13.04,159.21,657.89,223.81,233.72,121.75,2.94,4.40,2.13,7736.58,20.67,20.92,18.89,22.22,5202.66,0.80,532.26,72.48,62.54,347.00,55.37,3.93,753.29,314.03,7.56,273.45,527.12,280.54,10.81,21.87,522.15,193.57,5874.32,13.81,164.17,1.75,5.01,442.94,730.96,1178.16,,21687.50,346.71,5.07,136.45,365.01,0.39,179.00,,205.50,0.00,13.74,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M3,,,,66.88,65.15,87.33,64.68,70.25,93.12,40.78,53.38,28.60,50.96,,50.54,45.60,64.26,50.54,1631.18,766.57,99.75,93.36,34.50,33.40,1521.88,193.41,79.91,528.15,2420.18,80.63,592.71,800.48,93.35,13.04,153.98,693.55,233.48,237.35,127.86,2.76,4.11,1.89,7893.21,19.57,19.56,18.17,20.97,4815.96,0.83,508.01,68.96,61.82,323.40,55.64,3.74,756.65,298.16,7.71,301.17,544.32,305.88,11.14,21.81,533.33,213.18,5901.32,13.62,167.71,1.84,5.41,425.82,719.66,1254.34,,19925.00,351.81,5.20,148.38,378.90,0.38,169.10,,198.19,0.00,13.88,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M4,,,,67.09,65.14,90.13,62.42,69.97,89.47,39.60,51.66,27.93,49.30,,47.81,42.35,63.83,50.86,1561.11,607.73,97.87,90.99,35.40,32.99,1570.61,205.44,77.49,553.84,2389.32,78.82,584.81,883.18,95.67,13.04,150.19,641.61,208.12,240.16,124.71,2.73,3.72,2.01,7313.14,18.08,17.78,16.76,19.72,4235.24,0.75,509.47,76.86,61.30,299.33,52.19,3.68,749.82,270.20,7.88,309.33,537.05,313.36,11.30,21.73,533.27,240.29,5707.59,12.83,175.57,1.71,5.37,451.19,764.21,1240.02,,22468.75,344.58,4.77,153.47,371.08,0.35,172.77,,197.14,0.00,12.82,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M5,,,,68.02,64.69,107.37,64.25,71.08,91.77,40.44,53.31,28.00,50.88,,50.70,45.29,66.56,50.74,1625.45,414.36,100.07,86.50,35.73,32.53,1568.30,265.61,92.01,566.75,2513.30,79.26,589.35,955.45,95.12,13.04,149.42,617.85,191.97,252.18,118.61,2.73,3.73,2.22,7476.00,19.53,19.25,18.48,20.85,4246.53,0.79,508.57,81.52,60.89,324.50,50.20,3.63,747.56,313.15,7.97,324.99,529.55,319.84,11.13,21.70,551.73,252.76,5704.85,11.83,168.40,1.68,5.17,467.49,805.00,1310.13,,25375.00,343.70,4.76,169.49,387.50,0.35,167.18,,205.05,0.00,11.93,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M6,,,,65.29,62.40,99.46,63.31,68.44,89.76,40.23,52.80,28.07,50.70,,48.12,41.78,66.07,49.67,1567.19,468.92,94.94,80.11,34.50,32.28,1693.62,226.76,90.19,554.02,2611.29,80.51,610.62,930.95,84.04,13.04,150.74,614.05,203.59,264.85,112.58,2.73,3.66,2.20,7060.00,18.08,17.80,17.27,19.16,3452.36,0.76,471.65,83.17,60.89,323.20,50.44,3.57,736.60,279.22,8.07,300.66,507.94,304.77,11.43,21.63,534.19,224.81,5560.29,10.94,141.20,1.65,4.75,478.76,829.35,1354.98,,23406.25,340.48,4.76,201.98,430.76,0.34,146.67,,203.33,0.00,11.97,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M7,,,,63.39,61.19,89.40,62.46,66.63,88.57,39.16,52.09,26.67,49.84,,48.37,43.11,63.98,49.24,1591.59,457.87,91.66,81.73,35.00,31.27,1677.43,190.16,80.51,543.16,2449.20,81.18,627.37,909.57,75.47,13.04,151.48,633.50,213.53,254.33,106.42,2.60,3.50,2.17,6832.74,18.49,18.56,17.28,19.63,3760.36,0.75,445.03,83.14,61.30,320.00,42.58,3.66,705.70,303.36,8.26,284.33,483.47,281.16,11.57,22.03,523.61,244.77,5435.78,10.49,130.41,1.65,4.36,478.56,826.26,1517.02,,22562.50,324.09,4.37,187.55,415.52,0.35,130.00,,200.17,0.00,11.59,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M8,,,,62.48,60.36,87.62,61.42,65.35,84.75,39.28,52.14,26.84,50.05,,49.75,44.62,67.17,50.43,1710.03,408.84,91.30,82.82,36.93,31.03,1649.19,191.10,74.60,501.85,2250.10,81.21,656.29,906.67,75.60,13.04,144.47,607.38,184.18,245.37,111.95,2.60,3.43,2.44,6764.45,18.81,18.82,17.69,19.93,3607.56,0.72,444.55,77.41,62.71,285.00,41.54,3.60,649.00,289.82,8.12,279.81,490.09,267.59,11.70,22.23,532.90,257.76,5423.30,10.39,139.35,1.66,4.68,427.63,765.93,1650.63,,23475.00,324.05,4.50,211.67,424.55,0.37,125.24,,200.29,0.00,12.17,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M9,,,,61.72,59.46,88.48,59.43,64.47,83.03,38.26,50.05,26.86,48.18,,50.87,44.38,72.81,49.70,1611.62,449.59,92.51,80.47,37.15,29.88,1765.58,190.86,75.00,527.88,2104.31,79.64,679.52,914.55,82.37,13.04,140.36,632.88,169.59,232.62,112.24,2.60,3.50,2.85,6498.29,18.78,18.58,17.96,19.78,3839.11,0.70,460.63,70.66,63.05,270.20,39.43,3.64,587.03,298.62,7.63,277.95,509.93,255.21,11.33,22.29,550.77,247.53,5493.48,10.25,138.24,1.63,4.69,448.81,801.91,1638.29,,24525.00,324.48,4.73,190.48,424.73,0.39,115.18,,200.36,0.00,12.59,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M10,,,,61.36,59.43,84.13,57.59,63.76,80.03,37.64,48.67,26.98,47.10,,53.43,47.26,74.41,49.01,1607.33,381.22,102.71,79.72,37.15,29.00,1741.10,169.15,74.80,575.82,2050.70,77.75,696.66,943.91,84.85,13.04,143.05,598.20,167.76,227.36,120.24,2.45,3.50,3.06,6373.48,20.15,20.13,19.06,21.26,3914.95,0.70,490.54,65.95,59.63,265.75,39.63,3.74,534.52,278.46,7.91,245.04,541.90,250.75,11.38,22.25,591.30,252.51,5556.52,11.28,136.21,1.62,5.16,435.41,769.16,1276.67,,23770.00,323.88,5.03,205.02,423.12,0.40,114.61,,200.74,0.00,12.81,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M11,,,,62.17,60.43,82.75,56.70,64.48,80.11,36.30,47.39,25.58,45.87,,51.30,45.12,73.31,45.46,1598.32,435.08,102.27,83.24,33.60,27.69,1696.37,160.31,75.81,686.91,1918.50,77.22,742.33,895.00,86.37,13.04,148.00,562.60,161.49,213.73,117.40,2.45,3.63,2.93,6137.25,19.30,19.31,18.51,20.07,3881.83,0.78,493.09,63.03,57.56,251.75,38.13,3.62,516.44,299.18,8.07,259.68,565.71,265.43,12.01,21.90,652.00,264.69,5651.00,12.75,135.38,1.51,5.09,434.67,739.89,1171.15,,25412.50,305.35,5.08,207.90,392.29,0.36,110.50,,204.00,0.00,12.64,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997M12,,,,61.26,58.95,88.64,53.72,63.03,74.96,34.68,45.28,24.43,44.09,,46.37,41.17,65.55,43.94,1530.52,424.72,97.08,84.28,31.40,27.75,1738.75,176.78,82.19,641.34,1761.45,74.35,761.33,843.48,83.62,13.04,138.32,525.74,153.32,210.67,113.60,2.45,3.66,2.33,5942.38,17.36,17.42,16.35,18.31,3655.30,0.84,498.67,56.52,55.98,263.50,32.91,3.58,471.02,275.66,8.09,241.42,546.75,254.59,12.33,21.89,630.04,265.05,5506.19,12.50,129.73,1.50,5.05,413.62,688.07,1101.26,,25650.00,287.62,5.79,197.83,365.42,0.34,104.75,,201.50,0.00,12.93,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M1,,,,70.20,68.52,90.05,52.10,70.51,72.62,34.17,43.94,24.73,43.05,,42.13,36.61,62.11,43.75,1485.47,453.04,95.77,82.87,31.40,27.50,1670.67,176.91,83.11,629.61,1687.60,72.14,755.77,807.27,75.58,13.41,130.02,530.65,161.58,197.10,114.37,2.49,3.46,2.11,5489.00,15.32,15.51,13.70,16.75,3475.10,0.91,548.63,50.56,55.50,293.50,30.67,3.47,413.37,287.30,8.09,217.84,550.05,246.00,11.52,21.85,629.32,317.37,5200.50,12.04,127.35,1.50,5.01,399.02,636.11,1096.25,,24995.00,289.50,5.88,223.74,373.86,0.30,102.25,,198.00,2.36,13.19,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M2,,,,69.74,67.98,90.61,52.08,70.34,74.41,34.31,43.21,25.71,42.79,,40.33,33.96,61.30,44.63,1465.18,438.54,91.49,82.09,33.44,26.76,1643.23,178.37,83.52,645.92,1664.00,68.84,754.40,770.00,65.07,13.41,126.56,515.63,171.26,202.50,113.62,2.49,2.98,2.21,5367.25,14.29,14.37,12.44,16.06,3164.00,0.98,595.77,50.38,55.81,297.00,37.30,3.42,504.15,277.70,8.09,207.11,581.36,247.42,10.72,21.79,637.45,329.13,5236.50,11.38,128.31,1.44,5.06,406.64,631.72,1043.20,,24668.75,297.46,6.83,237.05,386.08,0.30,110.00,,192.50,2.22,13.26,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M3,,,,69.88,68.63,84.69,52.14,70.38,73.78,34.40,43.54,25.56,43.05,,38.41,31.81,60.69,43.50,1438.32,455.80,93.04,81.68,31.88,26.74,1721.06,158.39,81.89,647.81,1747.16,68.43,741.70,744.09,75.86,13.41,123.25,558.98,163.07,195.47,113.84,2.49,2.81,2.22,5397.05,13.33,13.46,11.51,15.02,3106.16,1.06,599.87,50.25,56.92,295.00,33.79,3.51,506.13,278.62,8.09,188.89,597.01,240.12,9.84,21.74,661.73,261.48,5468.64,10.66,128.24,1.39,5.00,384.83,625.92,1046.75,,24958.33,295.95,6.24,262.52,398.99,0.27,125.36,,196.09,2.52,12.81,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M4,,,,71.82,70.74,84.68,52.28,72.04,73.52,35.16,43.84,26.76,43.61,,39.46,32.89,61.86,43.47,1417.55,780.39,91.85,81.74,31.18,27.35,1720.16,150.26,88.78,665.44,1800.13,65.70,743.83,740.00,79.72,13.41,121.12,571.78,174.11,168.95,106.69,2.37,2.61,2.45,5391.00,13.76,13.81,12.23,15.25,3093.11,0.97,628.88,50.75,57.62,311.00,35.03,3.83,505.98,280.31,8.09,176.48,614.21,235.09,9.68,22.14,687.27,234.06,5707.00,10.75,118.20,1.28,4.70,379.81,627.82,1096.18,,24625.00,308.29,6.33,320.25,413.75,0.29,140.32,,204.09,2.86,12.26,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M5,,,,72.00,71.11,82.59,51.04,72.12,72.93,33.98,42.34,25.89,42.08,,39.05,33.52,58.24,43.05,1364.32,679.56,93.01,80.40,30.28,27.63,1781.41,138.94,91.42,661.60,1731.66,64.36,732.55,739.52,83.72,13.41,115.01,542.74,161.58,149.08,105.97,2.37,2.67,2.15,5016.84,14.04,14.51,12.76,14.85,3160.63,1.10,643.72,61.33,59.08,318.50,35.49,3.95,472.69,297.55,8.09,171.40,617.07,236.15,9.23,22.31,747.71,190.30,5868.16,10.75,118.35,1.28,4.58,355.70,606.13,1060.37,,24500.00,298.98,5.56,353.81,388.90,0.27,147.86,,206.00,2.68,11.21,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M6,,,,69.73,69.05,77.77,49.42,70.01,71.89,32.58,40.49,24.93,39.97,,36.90,31.00,58.08,42.62,1305.52,659.53,91.57,77.48,30.00,27.33,1723.35,126.66,83.60,650.02,1656.60,68.94,727.63,803.18,82.01,13.41,105.58,526.48,165.17,132.94,101.75,2.37,2.66,2.15,4456.90,12.88,13.06,11.91,13.66,3184.11,1.04,583.24,60.45,62.54,331.00,31.89,4.17,451.42,290.69,8.20,178.42,565.04,231.12,8.10,22.43,717.00,218.15,5967.86,10.75,112.37,1.25,4.32,348.24,595.30,1007.60,,24250.00,292.54,5.27,286.11,355.43,0.24,139.50,,209.95,2.28,12.75,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M7,,,,66.79,66.21,73.65,48.75,67.16,69.67,32.68,40.43,25.18,40.14,,36.70,31.11,57.06,42.01,1312.67,457.18,85.20,75.94,30.00,26.55,1712.24,116.94,76.92,608.11,1655.67,69.86,706.68,892.61,79.99,13.41,103.51,543.64,153.54,134.83,100.90,2.21,2.57,2.19,4332.62,12.89,12.52,12.04,14.10,3172.03,1.04,583.59,52.34,67.34,323.00,31.92,3.83,437.60,268.34,7.96,188.04,544.76,232.43,8.62,22.67,701.87,226.20,5651.19,10.61,106.62,1.17,4.33,308.83,583.14,1043.50,,22820.00,292.75,5.46,306.43,378.43,0.25,128.52,,211.57,1.90,14.35,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M8,,,,64.80,63.87,75.81,48.26,65.42,69.62,31.93,39.77,24.35,39.35,,35.12,30.47,52.67,39.11,1310.55,353.94,73.20,76.12,26.20,26.30,1682.50,123.65,79.06,588.90,1619.93,68.18,708.88,946.19,78.42,13.41,103.43,526.85,177.42,136.94,88.36,2.21,2.57,1.86,4078.00,12.57,12.15,12.21,13.36,3148.39,1.10,589.90,49.06,70.85,323.00,29.64,3.61,455.58,269.07,7.77,152.85,522.94,202.25,8.48,22.22,658.52,237.75,5690.26,10.50,97.00,1.04,4.13,296.93,500.19,1029.05,,21787.50,284.11,5.16,285.69,369.18,0.24,118.71,,210.52,1.84,15.28,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M9,,,,63.81,62.98,73.65,49.03,64.80,71.53,32.21,40.09,24.60,39.54,,37.66,32.67,54.42,39.84,1341.89,355.32,73.12,75.05,27.09,26.43,1685.86,112.94,79.87,609.95,1646.77,66.39,726.89,841.36,84.10,13.41,116.53,519.45,175.83,150.19,85.71,2.21,2.65,1.96,4100.91,13.88,13.63,13.08,14.93,3293.41,1.09,626.84,40.93,71.06,322.00,30.97,3.64,503.50,276.91,7.38,143.22,544.54,193.34,7.23,21.93,651.50,225.25,5479.77,10.23,97.57,1.08,3.84,280.11,462.89,999.64,,20837.50,288.98,5.00,284.30,361.15,0.25,110.05,,211.00,1.98,15.19,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M10,,,,65.36,64.77,72.30,47.52,65.91,69.67,31.73,38.71,24.98,38.23,,36.44,30.55,52.13,39.58,1303.70,333.70,74.74,74.26,27.10,26.08,1647.52,109.39,80.42,635.47,1585.50,61.46,707.25,752.27,75.84,13.41,121.30,493.20,171.49,164.43,95.49,1.91,2.76,1.93,3870.45,13.37,12.90,12.81,14.39,3346.80,1.15,613.46,38.59,69.15,298.25,33.06,3.76,510.49,265.69,6.93,151.25,544.32,200.76,7.46,21.66,643.45,209.80,5424.50,9.61,112.16,1.16,4.00,286.85,417.47,941.36,,17750.00,295.71,5.00,278.38,342.60,0.26,102.55,,209.41,2.44,15.91,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M11,,,,66.21,65.64,72.95,47.14,66.46,68.20,31.69,38.78,24.85,38.30,,34.51,27.71,54.05,39.34,1295.30,561.46,79.26,75.57,26.10,26.70,1599.91,116.12,80.13,609.82,1573.72,56.08,653.71,754.76,64.65,13.41,114.50,493.02,160.25,159.45,97.38,1.91,2.67,2.10,4117.25,11.99,11.44,11.76,12.78,3281.72,1.18,616.53,23.68,67.10,270.33,32.60,3.77,513.99,281.84,7.01,160.32,545.86,209.90,8.06,21.83,639.48,206.75,5478.00,8.88,115.61,1.11,4.15,294.93,472.27,965.95,,15437.50,293.72,4.97,278.30,347.18,0.25,91.90,,207.14,2.74,16.60,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998M12,,,,64.52,63.73,73.79,46.10,65.01,68.32,30.92,37.27,24.78,37.03,,30.84,24.10,48.94,39.34,1250.39,377.76,78.39,76.35,26.10,26.70,1524.12,117.06,83.97,613.05,1475.76,56.00,548.67,750.00,66.91,13.41,111.35,500.61,161.97,162.45,95.32,1.91,2.64,1.72,3865.76,10.51,10.16,10.11,11.27,3299.12,1.09,579.74,19.10,64.90,282.50,30.44,3.66,534.97,283.75,7.01,160.90,522.72,204.91,8.08,22.19,607.43,206.50,5262.37,8.49,111.80,1.06,4.12,294.77,474.81,961.58,,11468.75,291.68,4.88,299.29,351.79,0.21,85.26,,203.95,2.70,17.16,,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
